"Title"	"ISSN"	"Languages (three-letter ISO language codes)"
"ACTA HISTORICA TALLINNENSIA"	"1406-2925|1736-7476"	"ENG|EST"
"ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS"	"1392-4095|2351-6526"	"ENG"
"ACTA HISTRIAE"	"1318-0185|2591-1767"	"ENG|HRV|ITA|SLV"
"ACTA HORTICULTURAE SINICA"	"0513-353X"	"CHI"
"ACTA HYDROBIOLOGICA SINICA"	"1000-3207"	"CHI|ENG"
"ACTA HYDROLOGICA SLOVACA"	"2644-4690"	"ENG"
"ACTA HYDROTECHNICA"	"0352-3551|1581-0267"	"SLV"
"ACTA ICHTHYOLOGICA ET PISCATORIA"	"0137-1592|1734-1515"	"ENG"
"ACTA IMEKO"	"2221-870X"	"ENG"
"ACTA INFORMATICA"	"0001-5903|1432-0525"	"ENG|MUL"
"ACTA INFORMATICA MEDICA"	"0353-8109"	"ENG"
"ACTA INFORMATICA PRAGENSIA"	"1805-4951"	"SLV"
"ACTA INNOVATIONS"	"2300-5599"	"ENG"
"ACTA KINESIOLOGICA"	"1840-2976|1840-3700"	"ENG"
"ACTA KOREANA"	"1520-7412"	"ENG"
"ACTA LIMNOLOGICA BRASILIENSIA"	"0102-6712|2179-975X"	"ENG"
"ACTA LINGUISTICA ACADEMICA"	"2559-8201|2560-1016"	"ENG"
"ACTA LINGUISTICA ASIATICA"	"2232-3317"	"ENG"
"ACTA LINGUISTICA HAFNIENSIA"	"0374-0463"	"ENG"
"ACTA LINGUISTICA LITHUANICA"	"1648-4444|2669-218X"	"ENG"
"ACTA LINGUISTICA PETROPOLITANA|ACTA LINGUISTICA PETROPOLITANA. ТРУДЫ ИНСТИТУТА ЛИНГВИСТИЧЕСКИХ ИССЛЕДОВАНИЙ"	"2306-5737|2658-4069"	"ENG|RUS"
"ACTA LITERARIA"	"0716-0909|0717-6848"	"SPA"
"ACTA LOGISTICA"	"1339-5629"	"ENG"
"ACTA MARISIENSIS - SERIA MEDICA"	"2668-7763"	"ENG"
"ACTA MATERIALIA"	"1359-6454|1873-2453"	"ENG"
"ACTA MATHEMATICA"	"0001-5962|1871-2509"	"ENG"
"ACTA MATHEMATICAE APPLICATAE SINICA - ENGLISH SERIES"	"0168-9673|1618-3932"	"ENG"
"ACTA MATHEMATICA HUNGARICA"	"0236-5294|1588-2632"	"ENG"
"ACTA MATHEMATICA SCIENTIA"	"0252-9602|1572-9087"	"ENG"
"ACTA MATHEMATICA SINICA, CHINESE SERIES"	"0583-1431"	"CHI"
"ACTA MATHEMATICA SINICA, ENGLISH SERIES"	"1439-7617|1439-8516"	"ENG"
"ACTA MATHEMATICA UNIVERSITATIS COMENIANAE"	"0231-6986|0862-9544"	"ENG"
"ACTA MATHEMATICA VIETNAMICA"	"0251-4184|2315-4144"	"ENG"
"ACTA MECHANICA"	"0001-5970|1619-6937"	"ENG"
"ACTA MECHANICA ET AUTOMATICA"	"1898-4088|2300-5319"	"ENG"
"ACTA MECHANICA SINICA/LIXUE XUEBAO"	"0567-7718|1614-3116"	"ENG"
"ACTA MECHANICA SOLIDA SINICA"	"0894-9166|1860-2134"	"ENG"
"ACTA MEDICA ACADEMICA"	"1840-1848|1840-2879"	"ENG"
"ACTA MEDICA BULGARICA"	"0324-1750"	"ENG"
"ACTA MEDICA CROATICA"	"1330-0164"	"HRV"
"ACTA MEDICA (HRADEC KRALOVE)"	"1211-4286|1805-9694"	"ENG"
"ACTA MEDICA INDONESIANA"	"0125-9326|2338-2732"	"ENG"
"ACTA MEDICA IRANICA"	"0044-6025"	"ENG"
"ACTA MEDICA LITUANICA"	"1392-0138|2029-4174"	"ENG"
"ACTA MEDICA MEDITERRANEA"	"0393-6384|2283-9720"	"ENG|FRE|ITA"
"ACTA MEDICA OKAYAMA"	"0386-300X"	"ENG"
"ACTA MEDICA PHILIPPINA"	"0001-6071"	"ENG"
"ACTA MEDICA PORTUGUESA"	"0870-399X|1646-0758"	"ENG|POR"
"ACTA MEDICA SALINIANA"	"0350-364X|1840-3956"	"ENG"
"ACTA METALLURGICA SINICA (ENGLISH LETTERS)"	"1006-7191|2194-1289"	"ENG"
"ACTA METALLURGICA SLOVACA"	"1335-1532|1338-1156"	"ENG|SLO"
"ACTA METEOROLOGICA SINICA"	"0894-0525"	"ENG"
"ACTA MICROBIOLOGICA BULGARICA"	"0204-8809"	"ENG"
"ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA"	"1217-8950|1588-2640"	"ENG"
"ACTA MICROSCOPICA"	"0798-4545"	"ENG|POR|SPA"
"ACTA MISSIOLOGICA"	"2453-7160"	"SLO"
"ACTA MONTANISTICA SLOVACA"	"1339-3103|1335-1788"	"CZE|ENG|GER|SLO"
"ACTA MUSEI MORAVIAE, SCIENTIAE GEOLOGICAE"	"1211-8796|2571-4686"	"ENG"
"ACTA MUSICOLOGICA"	"0001-6241"	"ENG|FRE|GER|MUL"
"ACTA MYCOLOGICA"	"0001-625X|2353-074X"	"ENG"
"ACTA MYOLOGICA"	"1128-2460"	"ENG"
"ACTA NATURAE"	"2075-8251|2075-8243"	"ENG|RUS"
"ACTA NEOPHILOLOGICA"	"0567-784X|2350-417X"	"ENG"
"ACTA NEUROBIOLOGIAE EXPERIMENTALIS"	"0065-1400|1689-0035"	"ENG"
"ACTA NEUROCHIRURGICA"	"0001-6268|0942-0940"	"ENG"
"ACTA NEUROCHIRURGICA, SUPPLEMENT"	"0065-1419"	"ENG"
"ACTA NEUROLOGICA BELGICA"	"0300-9009|2240-2993"	"DUT|ENG|FRE|MUL"
"ACTA NEUROLOGICA SCANDINAVICA"	"0001-6314|1600-0404"	"ENG"
"ACTA NEUROLOGICA TAIWANICA"	"1028-768X"	"ENG"
"ACTA NEUROPATHOLOGICA"	"0001-6322|1432-0533"	"ENG"
"ACTA NEUROPATHOLOGICA COMMUNICATIONS"	"2051-5960"	"ENG"
"ACTA NEUROPSYCHIATRICA"	"0924-2708|1601-5215"	"DUT|ENG"
"ACTA NEUROPSYCHOLOGICA"	"1730-7503|2084-4298"	"ENG|POL"
"ACTA NUMERICA"	"0962-4929|1474-0508"	"ENG"
"ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA"	"0001-6349|1600-0412"	"ENG"
"ACTA OCEANOLOGICA SINICA"	"0253-505X|1869-1099"	"ENG"
"ACTA ODONTOLOGICA SCANDINAVICA"	"0001-6357|1502-3850"	"ENG"
"ACTA OECOLOGICA - INTERNATIONAL JOURNAL OF ECOLOGY"	"1146-609X|1873-6238"	"ENG|MUL"
"ACTA OECONOMICA"	"0001-6373|1588-2659"	"ENG"
"ACTA OF BIOENGINEERING AND BIOMECHANICS"	"1509-409X"	"ENG"
"ACTA ONCOLOGICA"	"0284-186X|1651-226X"	"ENG"
"ACTA ONOMASTICA"	"1211-4413"	"CZE"
"ACTA OPHTHALMOLOGICA"	"1755-375X|1755-3768"	"ENG"
"ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE"	"0001-6446|1588-2667"	"ENG|FRE|GER|RUS"
"ACTA ORNITHOLOGICA"	"0001-6454|1734-8471"	"ENG|MUL|POL"
"ACTA ORTHOPAEDICA"	"1745-3674|1745-3682"	"ENG"
"ACTA ORTHOPAEDICA BELGICA"	"0001-6462"	"ENG|FRE"
"ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA"	"1017-995X"	"ENG|TUR"
"ACTA ORTOPEDICA BRASILEIRA"	"1413-7852|1809-4406"	"ENG|POR"
"ACTA OTO - LARYNGOLOGICA"	"0001-6489|1651-2251"	"ENG|MUL"
"ACTA OTO - LARYNGOLOGICA CASE REPORTS"	"2377-2484"	"ENG"
"ACTA OTORHINOLARYNGOLOGICA ITALICA"	"0392-100X|1827-675X"	"ENG|ITA"
"ACTA OTORRINOLARINGOLOGICA ESPANOLA"	"0001-6519|1988-3013"	"SPA"
"ACTA PAEDAGOGICA VILNENSIA"	"1392-5016|1648-665X"	"ENG"
"ACTA PAEDIATRICA, INTERNATIONAL JOURNAL OF PAEDIATRICS"	"0803-5253|1651-2227"	"ENG"
"ACTA PALAEOBOTANICA"	"0001-6594|2082-0259"	"ENG"
"ACTA PALAEONTOLOGICA POLONICA"	"0567-7920|1732-2421"	"ENG"
"ACTA PALAEONTOLOGICA ROMANIAE"	"1842-371X|2248-3802"	"ENG"
"ACTA PARASITOLOGICA"	"1230-2821|1896-1851"	"ENG"
"ACTA PAULISTA DE ENFERMAGEM"	"0103-2100|1982-0194"	"ENG|POR"
"ACTA PEDIATRICA DE MEXICO"	"0186-2391|2395-8235"	"ENG|SPA"
"ACTA PEDIATRICA ESPANOLA"	"0001-6640"	"SPA"
"ACTA PEDOLOGICA SINICA"	"0564-3929"	"CHI"
"ACTA PERIODICA TECHNOLOGICA"	"1450-7188"	"ENG"
"ACTA PETROLOGICA SINICA"	"1000-0569|2095-8927"	"CHI"
"ACTA PHARMACEUTICA"	"1330-0075|1846-9558"	"ENG"
"ACTA PHARMACEUTICA SCIENCIA"	"1307-2080"	"ENG"
"ACTA PHARMACEUTICA SINICA B"	"2211-3835|2211-3843"	"ENG"
"ACTA PHARMACOLOGICA SINICA"	"1671-4083|1745-7254"	"CHI|ENG"
"ACTA PHILOSOPHICA"	"1121-2179|1825-6562"	"ENG|ITA|MUL"
"ACTA PHLEBOLOGICA"	"1593-232X|1827-1766"	"ENG|MUL"
"ACTA PHYSICA POLONICA A"	"0587-4246|1898-794X"	"ENG|MUL"
"ACTA PHYSICA POLONICA B, PROCEEDINGS SUPPLEMENT"	"1899-2358"	"ENG|FRE|GER"
"ACTA PHYSICA POLONICA, SERIES B."	"0587-4254|1509-5770"	"ENG|FRE|GER|MUL"
"ACTA PHYSICO - CHIMICA SINICA"	"1000-6818"	"CHI"
"ACTA PHYSIOLOGIAE PLANTARUM"	"0137-5881|1861-1664"	"ENG"
"ACTA PHYSIOLOGICA"	"1748-1708|1748-1716"	"ENG"
"ACTA PHYSIOLOGICA SINICA"	"0371-0874"	"CHI"
"ACTA PHYTOPATHOLOGICA ET ENTOMOLOGICA HUNGARICA"	"0238-1249|1588-2691"	"ENG"
"ACTA PHYTOTAXONOMICA ET GEOBOTANICA"	"1346-7565|2189-7042"	"ENG"
"ACTA POETICA"	"0185-3082|2448-735X"	"SPA"
"ACTA POLITICA"	"0001-6810|1741-1416"	"ENG"
"ACTA POLITOLOGICA"	"1803-8220|1804-1302"	"CZE|ENG"
"ACTA POLONIAE HISTORICA"	"0001-6829"	"ENG|FRE|GER|MUL"
"ACTA POLONIAE PHARMACEUTICA"	"0001-6837|2353-5288"	"ENG"
"ACTA POLYMERICA SINICA"	"1000-3304"	"CHI"
"ACTA POLYTECHNICA"	"1210-2709|1805-2363"	"ENG"
"ACTA POLYTECHNICA HUNGARICA"	"2064-2687|1785-8860"	"ENG"
"ACTA PRATACULTURAE SINICA"	"1004-5759"	"CHI"
"ACTA PROTOZOOLOGICA"	"0065-1583|1689-0027"	"ENG"
"ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA"	"0001-6896"	"ENG"
"ACTA PSYCHIATRICA SCANDINAVICA"	"0001-690X|1600-0447"	"ENG"
"ACTA PSYCHOLOGICA"	"0001-6918|1873-6297"	"ENG"
"ACTA PSYCHOLOGICA SINICA"	"0439-755X"	"CHI|MUL"
"ACTA RADIOLOGICA"	"0284-1851|1600-0455"	"ENG"
"ACTA RADIOLOGICA OPEN"	"2058-4601"	"ENG"
"ACTA REUMATOLOGICA PORTUGUESA"	"0303-464X"	"ENG|FRE|POR|SPA"
"ACTA SCIENTIAE"	"1517-4492|2178-7727"	"ENG|SPA"
"ACTA SCIENTIAE VETERINARIAE"	"1678-0345|1679-9216"	"ENG|POR"
"ACTA SCIENTIARUM - AGRONOMY"	"1679-9275|1807-8621"	"ENG|POR"
"ACTA SCIENTIARUM - ANIMAL SCIENCES"	"1806-2636|1807-8672"	"POR"
"ACTA SCIENTIARUM - BIOLOGICAL SCIENCES"	"1679-9283|1807-863X"	"ENG|POR"
"ACTA SCIENTIARUM - EDUCATION"	"2178-5198|2178-5201"	"ENG"
"ACTA SCIENTIARUM - HEALTH SCIENCES"	"1679-9291|1807-8648"	"ENG|POR"
"ACTA SCIENTIARUM LANGUAGE AND CULTURE"	"1983-4675|1983-4683"	"ENG|POR"
"ACTA SCIENTIARUM MATHEMATICARUM"	"0001-6969|2064-8316"	"ENG|MUL"
"ACTA SCIENTIARUM POLONORUM, ADMINISTRATIO LOCORUM"	"1644-0749|2450-0771"	"POL"
"ACTA SCIENTIARUM POLONORUM - FORMATIO CIRCUMIECTUS"	"1644-0765"	"ENG|POL"
"ACTA SCIENTIARUM POLONORUM, HORTORUM CULTUS"	"1644-0692|2545-1405"	"ENG"
"ACTA SCIENTIARUM POLONORUM, TECHNOLOGIA ALIMENTARIA"	"1644-0730|1898-9594"	"ENG"
"ACTA SCIENTIARUM - TECHNOLOGY"	"1806-2563|1807-8664"	"ENG|POR"
"ACTAS DERMO - SIFILIOGRAFICAS"	"0001-7310|1578-2190"	"SPA"
"ACTA SEDIMENTOLOGICA SINICA"	"1000-0550"	"ENG"
"ACTA SEISMOLOGICA SINICA"	"0253-3782"	"CHI"
"ACTAS ESPANOLAS DE PSIQUIATRIA"	"1139-9287|1578-2735"	"SPA"
"ACTA SILVAE ET LIGNI"	"2335-3112|2335-3953"	"ENG|FRE|GER|SLV|SPA"
"ACTA SILVATICA ET LIGNARIA HUNGARICA"	"1786-691X|1787-064X"	"ENG"
"ACTA SOCIETATIS BOTANICORUM POLONIAE"	"0001-6977|2083-9480"	"ENG|POL"
"ACTA SOCIOLOGICA"	"0001-6993|1502-3869"	"ENG"
"ACTA STOMATOLOGICA CROATICA"	"0001-7019|1846-0410"	"ENG|HRV"
"ACTA STOMATOLOGICA NAISSI"	"0352-5252|1820-1202"	"ENG|SRP"
"ACTA STRUCTILIA"	"1023-0564|2415-0487"	"ENG"
"ACTAS UROLOGICAS ESPANOLAS"	"0210-4806|1699-7980"	"SPA"
"ACTA TABACARIA SINICA"	"1004-5708"	"CHI"
"ACTA TECHNICA NAPOCENSIS SERIES - APPLIED MATHEMATICS MECHANICS AND ENGINEERING"	"1221-5872"	"ENG"
"ACTA TECHNOLOGICA AGRICULTURAE"	"1335-2555|1338-5267"	"ENG"
"ACTA THEOLOGICA"	"1015-8758|2309-9089"	"ENG"
"ACTA THERIOLOGICA SINICA"	"1000-1050"	"CHI"
"ACTA TROPICA"	"0001-706X|1873-6254"	"ENG"
"ACTA TURISTICA"	"0353-4316|1848-6061"	"ENG|MUL"
"ACTA UNIVERSITATIS AGRICULTURAE ET SILVICULTURAE MENDELIANAE BRUNENSIS"	"1211-8516|2464-8310"	"CZE|ENG"
"ACTA UNIVERSITATIS CAROLINAE, GEOGRAPHICA"	"0300-5402|2336-1980"	"CZE|ENG"
"ACTA UNIVERSITATIS CAROLINAE IURIDICA"	"0323-0619|2336-6478"	"CZE"
"ACTA UNIVERSITATIS CAROLINAE STUDIA TERRITORIALIA"	"1213-4449|2336-3231"	"ENG"
"ACTA UNIVERSITATIS CAROLINAE THEOLOGICA"	"1804-5588|2336-3398"	"ENG"
"ACTA UNIVERSITATIS CIBINIENSIS - SERIES E: FOOD TECHNOLOGY"	"2344-150X"	"ENG"
"ACTA UNIVERSITATIS SAPIENTIAE - FILM AND MEDIA STUDIES"	"2065-5924|2066-7779"	"ENG"
"ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA"	"1844-6086|2066-7760"	"ENG"
"ACTA UNIVERSITATIS SAPIENTIAE, MATHEMATICA"	"1844-6094|2066-7752"	"ENG"
"ACTA UNIVERSITATIS SAPIENTIAE, PHILOLOGICA"	"2067-5151|2391-8179"	"ENG"
"ACTA UROLOGICA JAPONICA"	"0018-1994"	"JPN"
"ACTA VETERINARIA - BEOGRAD"	"0567-8315|1820-7448"	"ENG"
"ACTA VETERINARIA BRASILICA"	"1981-5484"	"POR"
"ACTA VETERINARIA BRNO"	"0001-7213|1801-7576"	"ENG|MUL"
"ACTA VETERINARIA EURASIA"	"2618-639X|2619-905X"	"ENG|TUR"
"ACTA VETERINARIA HUNGARICA"	"0236-6290|1588-2705"	"ENG|HUN"
"ACTA VETERINARIA SCANDINAVICA"	"0044-605X|1751-0147"	"ENG"
"ACTA VIROLOGICA"	"0001-723X|1336-2305"	"ENG"
"ACTA ZOOLOGICA"	"0001-7272|1463-6395"	"ENG|MUL"
"ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE"	"1217-8837|2064-2474"	"ENG"
"ACTA ZOOLOGICA BULGARICA"	"0324-0770"	"ENG"
"ACTES DE LA RECHERCHE EN SCIENCES SOCIALES"	"0335-5322|1955-2564"	"FRE"
"ACTION IN TEACHER EDUCATION"	"0162-6620|2158-6098"	"ENG"
"ACTION LEARNING: RESEARCH AND PRACTICE"	"1476-7333|1476-7341"	"ENG"
"ACTION RESEARCH"	"1476-7503|1741-2617"	"ENG"
"ACTIVE AND PASSIVE ELECTRONIC COMPONENTS"	"0882-7516|1563-5031"	"ENG"
"ACTIVE LEARNING IN HIGHER EDUCATION"	"1469-7874|1741-2625"	"ENG"
"ACTIVITAS NERVOSA SUPERIOR"	"1802-9698"	"ENG"
"ACTIVITAS NERVOSA SUPERIOR REDIVIVA"	"1337-933X|1338-4015"	"ENG"
"ACTIVITAT PARLAMENTARIA"	"1577-7162|2339-5591"	""
"ACTIVITES - REVUE ELECTRONIQUE"	"1765-2723"	"ENG|FRE"
"ACTIVITIES, ADAPTATION AND AGING"	"0192-4788|1544-4368"	"ENG"
"ACTUALIDAD CONTABLE FACES"	"1316-8533"	"SPA"
"ACTUALIDADES EN PSICOLOGIA"	"0258-6444|2215-3535"	"SPA"
"ACTUALIDADES PEDAGOGICAS"	"0120-1700|2389-8755"	"MUL"
"ACTUALIDAD JURIDICA AMBIENTAL"	"1989-5666"	"ENG|GLG|POR|SPA"
"ACTUALIDAD JURIDICA IBEROAMERICANA"	"2386-4567"	"SPA"
"ACTUALITE CHIMIQUE"	"0151-9093"	"FRE"
"ACTUALITE ECONOMIQUE"	"0001-771X|1710-3991"	"ENG"
"ACTUALITES PHARMACEUTIQUES"	"0515-3700"	"FRE"
"ACTUALIZACIONES EN OSTEOLOGIA"	"1669-8975|1669-8983"	"SPA"
"ACTUATORS"	"2076-0825"	"ENG"
"ACTUEL MARX"	"0994-4524"	"ENG|FRE"
"ACUPUNCTURE AND ELECTRO - THERAPEUTICS RESEARCH"	"0360-1293|2167-9010"	"ENG"
"ACUPUNCTURE IN MEDICINE"	"0964-5284|1759-9873"	"ENG"
"ACUTE AND CRITICAL CARE"	"2586-6052|2586-6060"	"ENG"
"ACUTE MEDICINE"	"1747-4884|1747-4892"	"ENG"
"ACUTE MEDICINE & SURGERY"	"2052-8817"	"ENG"
"AD ALTA - JOURNAL OF INTERDISCIPLINARY RESEARCH"	"1804-7890"	"ENG"
"ADALYA"	"1301-2746"	"TUR"
"ADAMANTIUS"	"1126-6244"	"ITA|ENG"
"ADANSONIA"	"1280-8571|1639-4798"	"ENG|FRE"
"ADAPTATION - THE JOURNAL OF LITERATURE ON SCREEN STUDIES"	"1755-0637|1755-0645"	"ENG"
"ADAPTED PHYSICAL ACTIVITY QUARTERLY"	"0736-5829|1543-2777"	"ENG"
"ADAPTIVE BEHAVIOR"	"1059-7123|1741-2633"	"ENG"
"ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY"	"2198-7335"	"ENG"
"ADA USER JOURNAL"	"1381-6551"	"ENG"
"ADCAIJ - ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL"	"2255-2863"	"ENG|SPA"
"ADCOMUNICA - REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION"	"2174-0992|2254-2728"	"SPA"
"ADDICTA - THE TURKISH JOURNAL ON ADDICTIONS"	"2148-7286|2149-1305"	"ENG"
"ADDICTION"	"0965-2140|1360-0443"	"ENG"
"ADDICTION BIOLOGY"	"1355-6215|1369-1600"	"ENG"
"ADDICTION RESEARCH AND THEORY"	"1476-7392|1606-6359"	"ENG"
"ADDICTION SCIENCE & CLINICAL PRACTICE"	"1940-0632|1940-0640"	"ENG"
"ADDICTIVE BEHAVIORS"	"0306-4603|1873-6327"	"ENG"
"ADDICTIVE BEHAVIORS REPORTS"	"2352-8532"	"ENG"
"ADDICTIVE DISORDERS AND THEIR TREATMENT"	"1531-5754|1535-1122"	"ENG"
"ADDITIVE MANUFACTURING"	"2214-8604|2214-7810"	"ENG"
"ADELAIDE LAW REVIEW"	"0065-1915"	"ENG"
"ADEPTUS"	"2300-0783"	"BEL|ENG|POL|RUS"
"AD - HOC AND SENSOR WIRELESS NETWORKS"	"1551-9899|1552-0633"	"ENG"
"AD HOC NETWORKS"	"1570-8705|1570-8713"	"ENG"
"ADICCIONES"	"0214-4840"	"SPA"
"ADIKTOLOGIE"	"1213-3841|2570-8112"	"CZE"
"ADIPOCYTE"	"2162-3945|2162-397X"	"ENG"
"AD LIMINA"	"2171-620X|2659-5885"	"SPA"
"ADMET AND DMPK"	"1848-7718"	"ENG"
"AD - MINISTER"	"1692-0279|2256-4322"	"ENG|SPA"
"ADMINISTRACAO - ENSINO E PESQUISA"	"2177-6083|2358-0917"	"POR"
"ADMINISTRACAO PUBLICA E GESTAO SOCIAL"	"2175-5787"	"POR"
"ADMINISTRATIE SI MANAGEMENT PUBLIC"	"1583-9583|2559-6489"	"ENG"
"ADMINISTRATION"	"0001-8325|2449-9471"	"ENG"
"ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH"	"0894-587X|1573-3289"	"ENG"
"ADMINISTRATION AND SOCIETY"	"0095-3997|1552-3039"	"ENG"
"ADMINISTRATIVE LAW REVIEW"	"0001-8368|2326-9154"	"ENG"
"ADMINISTRATIVE SCIENCE QUARTERLY"	"0001-8392|1930-3815"	"ENG"
"ADMINISTRATIVE SCIENCES"	"2076-3387"	"ENG"
"ADMINISTRATIVE THEORY AND PRAXIS"	"1084-1806|1949-0461"	"ENG"
"ADOLESCENCIA E SAUDE"	"1679-9941|2177-5281"	"ENG"
"ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS"	"1179-318X"	"ENG"
"ADOLESCENT PSYCHIATRY"	"2210-6766|2210-6774"	"ENG"
"ADOLESCENT RESEARCH REVIEW"	"2363-8346|2363-8354"	"ENG"
"ADOPTION AND FOSTERING"	"0308-5759|1740-469X"	"ENG"
"ADOPTION QUARTERLY"	"1092-6755|1544-452X"	"ENG"
"ADSORPTION - JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY"	"0929-5607|1572-8757"	"ENG"
"ADSORPTION SCIENCE AND TECHNOLOGY"	"0263-6174|2048-4038"	"ENG"
"ADULT EDUCATION QUARTERLY"	"0741-7136|1552-3047"	"ENG"
"ADULT LEARNING"	"1045-1595|2162-4070"	"ENG"
"ADULTS LEARNING MATHEMATICS INTERNATIONAL JOURNAL"	"1744-1803"	"ENG"
"ADULTSPAN JOURNAL"	"1524-6817|2161-0029"	"ENG"
"ADVANCED BIOLOGY"	"2701-0198"	"ENG"
"ADVANCED BIOMEDICAL ENGINEERING"	"2187-5219"	"ENG"
"ADVANCED BIOMEDICAL RESEARCH"	"2277-9175"	"ENG"
"ADVANCED COMPOSITE MATERIALS"	"0924-3046|1568-5519"	"ENG"
"ADVANCED COMPOSITES AND HYBRID MATERIALS"	"2522-0128|2522-0136"	"ENG"
"ADVANCED COMPOSITES LETTERS"	"0963-6935"	"ENG"
"ADVANCED DRUG DELIVERY REVIEWS"	"0169-409X|1872-8294"	"ENG"
"ADVANCED EDUCATION"	"2409-3351|2410-8286"	"ENG|FRE|GER|RUS|UKR"
"ADVANCED ELECTROMAGNETICS"	"2119-0275"	"ENG"
"ADVANCED ELECTRONIC MATERIALS"	"2199-160X"	"ENG"
"ADVANCED EMERGENCY NURSING JOURNAL"	"1931-4485|1931-4493"	"ENG"
"ADVANCED ENERGY AND SUSTAINABILITY RESEARCH"	"2699-9412"	""
"ADVANCED ENERGY MATERIALS"	"1614-6832|1614-6840"	"ENG"
"ADVANCED ENGINEERING INFORMATICS"	"1474-0346|1873-5320"	"ENG"
"ADVANCED ENGINEERING MATERIALS"	"1438-1656|1527-2648"	"ENG"
"ADVANCED FIBER MATERIALS"	"2524-7921|2524-793X"	"ENG"
"ADVANCED FUNCTIONAL MATERIALS"	"1616-301X|1616-3028"	"ENG"
"ADVANCED GENETICS"	"2641-6573"	"ENG"
"ADVANCED HEALTHCARE MATERIALS"	"2192-2640|2192-2659"	"ENG"
"ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH"	"2542-5048"	"ENG"
"ADVANCED INTELLIGENT SYSTEMS"	"2640-4567"	"ENG"
"ADVANCED MANUFACTURING: POLYMER AND COMPOSITES SCIENCE"	"2055-0359|2055-0340"	"ENG"
"ADVANCED MATERIALS"	"0935-9648|1521-4095"	"ENG"
"ADVANCED MATERIALS AND PROCESSES"	"0882-7958|2161-9425"	"ENG"
"ADVANCED MATERIALS INTERFACES"	"2196-7350"	"ENG"
"ADVANCED MATERIALS TECHNOLOGIES"	"2365-709X"	"ENG"
"ADVANCED MATHEMATICAL MODELS AND APPLICATIONS"	"2519-4445"	"ENG"
"ADVANCED MODELING AND SIMULATION IN ENGINEERING SCIENCES"	"2213-7467"	"ENG"
"ADVANCED NANOBIOMED RESEARCH"	"2699-9307"	""
"ADVANCED NONLINEAR STUDIES"	"1536-1365|2169-0375"	"ENG"
"ADVANCED OPTICAL MATERIALS"	"2195-1071"	"ENG"
"ADVANCED OPTICAL TECHNOLOGIES"	"2192-8584|2192-8576"	"ENG"
"ADVANCED PHARMACEUTICAL BULLETIN"	"2228-5881|2251-7308"	"ENG"
"ADVANCED PHOTONICS"	"2577-5421"	"ENG"
"ADVANCED POWDER TECHNOLOGY"	"0921-8831|1568-5527"	"ENG"
"ADVANCED QUANTUM TECHNOLOGIES"	"2511-9044"	"ENG"
"ADVANCED ROBOTICS"	"0169-1864|1568-5535"	"ENG"
"ADVANCED SCIENCE"	"2198-3844"	"ENG"
"ADVANCED STEEL CONSTRUCTION"	"1816-112X"	"ENG"
"ADVANCED STRUCTURAL AND CHEMICAL IMAGING"	"2198-0926"	"ENG"
"ADVANCED STUDIES: EURO - TBILISI MATHEMATICAL JOURNAL JOURNAL"	"2667-9930"	"ENG"
"ADVANCED SUSTAINABLE SYSTEMS"	"2366-7486"	"ENG"
"ADVANCED SYNTHESIS AND CATALYSIS"	"1615-4150|1615-4169"	"ENG"
"ADVANCED THEORY AND SIMULATIONS"	"2513-0390"	"ENG"
"ADVANCED THERAPEUTICS"	"2366-3987"	"ENG"
"ADVANCED ULTRASOUND IN DIAGNOSIS AND THERAPY"	"2576-2508|2576-2516"	"ENG"
"ADVANCEMENTS IN LIFE SCIENCES"	"2310-5380"	"ENG"
"ADVANCEMENTS OF MICROBIOLOGY"	"0079-4252|2545-3149"	"ENG|POL"
"ADVANCES AND APPLICATIONS IN BIOINFORMATICS AND CHEMISTRY"	"1178-6949"	"ENG"
"ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS"	"0974-1658"	"ENG"
"ADVANCES AND APPLICATIONS IN MATHEMATICAL SCIENCES"	"0974-6803"	"ENG"
"ADVANCES AND APPLICATIONS IN STATISTICS"	"0972-3617"	"ENG"
"ADVANCES AND TECHNICAL STANDARDS IN NEUROSURGERY"	"0095-4829"	"ENG"
"ADVANCES IN ACCOUNTING"	"0882-6110"	"ENG"
"ADVANCES IN ACOUSTICS AND VIBRATION"	"1687-6261|1687-627X"	"ENG"
